,0
0,96.46189
1,95.30769
2,96.562065
3,96.57059
4,96.57597
5,96.57573
6,96.57389
7,96.5703
8,96.56545
9,96.56179
10,96.55611
11,96.55077
12,96.544655
13,96.539925
14,96.53464
15,96.52759
16,96.522545
17,96.51581
18,96.51038
19,96.503624
20,96.49784
21,96.49289
22,96.48637
23,96.48137
24,96.47573
25,96.47094
26,96.464455
27,96.46018
28,96.45399
29,96.44942
30,96.44391
31,96.43977
32,96.436
33,96.43269
34,96.4289
35,96.42599
36,96.422676
37,96.42044
38,96.418686
39,96.41777
40,96.416725
41,96.41722
42,96.4164
43,96.416145
44,96.416885
45,96.41664
46,96.41718
47,96.41832
48,96.418816
49,96.41867
50,96.42126
51,96.42151
52,96.422134
53,96.42309
54,96.42288
55,96.42329
56,96.42177
57,96.42224
58,96.423
59,96.42195
60,96.42087
61,96.41995
62,96.42055
63,96.419106
64,96.420135
65,96.41889
66,96.418
67,96.417244
68,96.416245
69,96.41611
70,96.41397
71,96.41254
72,96.4107
73,96.41043
74,96.40891
75,96.408516
76,96.4074
77,96.40597
78,96.404976
79,96.40459
80,96.40292
81,96.40152
82,96.40051
83,96.40002
84,96.39899
85,96.39784
86,96.39652
87,96.39617
88,96.39518
89,96.39484
90,96.39324
91,96.39186
92,96.390724
93,96.38932
94,96.38932
95,96.38663
96,96.38581
97,96.385345
98,96.38468
99,96.3828
100,96.38139
101,96.38052
102,96.380295
103,96.37868
104,96.37734
105,96.376076
106,96.375145
107,96.37425
108,96.37392
109,96.37266
110,96.37076
111,96.3696
112,96.36902
113,96.3677
114,96.36544
115,96.36495
116,96.36363
117,96.36194
118,96.361336
119,96.35938
120,96.35767
121,96.35603
122,96.35435
123,96.35271
124,96.35151
125,96.34979
126,96.34899
127,96.34743
128,96.34638
129,96.34368
130,96.34306
131,96.341995
132,96.33976
133,96.33821
134,96.33617
135,96.334564
136,96.33246
137,96.33067
138,96.3285
139,96.32715
140,96.32525
141,96.32283
142,96.3211
143,96.31815
144,96.31771
145,96.316536
146,96.31363
147,96.311295
148,96.3089
149,96.306854
150,96.30352
151,96.30227
152,96.299255
153,96.29762
154,96.29477
155,96.292625
156,96.289635
157,96.28757
158,96.28635
159,96.28294
160,96.28049
161,96.27796
162,96.27626
163,96.27378
164,96.271065
165,96.26958
166,96.26749
167,96.26398
168,96.26338
169,96.26163
170,96.25897
171,96.2588
172,96.25691
173,96.25586
174,96.25437
175,96.25469
176,96.254486
177,96.25564
178,96.25661
179,96.2575
180,96.25985
181,96.26303
182,96.26658
183,96.27299
184,96.27993
185,96.286736
186,96.298615
187,96.31111
188,96.32788
189,96.34959
190,96.372925
191,96.40634
192,96.44279
193,96.497
194,96.57102
195,96.67637
196,96.817856
197,95.97194
198,94.84522
199,96.1329
200,96.1416
201,96.14435
202,96.14632
203,96.14395
204,96.13972
205,96.1358
206,96.13296
207,96.12739
208,96.12209
209,96.11616
210,96.11143
211,96.105354
212,96.10059
213,96.09534
214,96.09019
215,96.08514
216,96.07893
217,96.07322
218,96.06805
219,96.06047
220,96.05529
221,96.05149
222,96.0462
223,96.04155
224,96.03641
225,96.03132
226,96.0273
227,96.02368
228,96.01967
229,96.01618
230,96.013504
231,96.01009
232,96.00681
233,96.00514
234,96.002716
235,96.002785
236,96.00139
237,96.00153
238,96.000465
239,95.99924
240,96.00166
241,96.00135
242,96.00281
243,96.00354
244,96.004555
245,96.00615
246,96.00552
247,96.00717
248,96.00827
249,96.007866
250,96.00745
251,96.00766
252,96.00736
253,96.00702
254,96.007225
255,96.00674
256,96.00618
257,96.0041
258,96.004265
259,96.00351
260,96.002426
261,96.003136
262,96.002464
263,96.00197
264,96.00142
265,95.99962
266,95.99858
267,95.99858
268,95.99714
269,95.99495
270,95.99534
271,95.994125
272,95.99355
273,95.9928
274,95.99121
275,95.99061
276,95.990074
277,95.98879
278,95.98768
279,95.9856
280,95.986046
281,95.98429
282,95.98294
283,95.98282
284,95.98203
285,95.980576
286,95.98014
287,95.979034
288,95.97799
289,95.97665
290,95.975204
291,95.97415
292,95.97497
293,95.97315
294,95.97199
295,95.97077
296,95.970245
297,95.968285
298,95.96756
299,95.967514
300,95.96531
301,95.96466
302,95.96408
303,95.96212
304,95.96044
305,95.96013
306,95.959984
307,95.958374
308,95.95624
309,95.95513
310,95.95581
311,95.952934
312,95.95075
313,95.9506
314,95.94999
315,95.947914
316,95.94696
317,95.94461
318,95.94423
319,95.941864
320,95.9403
321,95.93923
322,95.936935
323,95.93612
324,95.933075
325,95.93214
326,95.929436
327,95.92844
328,95.926765
329,95.92452
330,95.92274
331,95.92203
332,95.91934
333,95.91612
334,95.91417
335,95.91263
336,95.91081
337,95.908356
338,95.905334
339,95.90468
340,95.902176
341,95.90035
342,95.89811
343,95.89585
344,95.89404
345,95.89167
346,95.88865
347,95.88779
348,95.88448
349,95.882805
350,95.87955
351,95.87688
352,95.87438
353,95.872185
354,95.86948
355,95.8667
356,95.86513
357,95.86188
358,95.85979
359,95.8579
360,95.856
361,95.85274
362,95.85096
363,95.8496
364,95.847046
365,95.84616
366,95.84514
367,95.8404
368,95.84065
369,95.838715
370,95.83855
371,95.83796
372,95.838974
373,95.83748
374,95.83938
375,95.839935
376,95.84085
377,95.84426
378,95.8488
379,95.85402
380,95.861305
381,95.87067
382,95.88195
383,95.89626
384,95.91443
385,95.9356
386,95.964485
387,95.998924
388,96.04319
389,96.1024
390,96.192795
391,96.33383
392,96.51523
393,95.43117
394,94.3255
395,95.66025
396,95.66866
397,95.67226
398,95.672485
399,95.6697
400,95.66702
401,95.66307
402,95.65751
403,95.653465
404,95.64874
405,95.64398
406,95.63997
407,95.63314
408,95.62923
409,95.62341
410,95.61915
411,95.61286
412,95.60843
413,95.60444
414,95.59807
415,95.59296
416,95.58849
417,95.582184
418,95.57823
419,95.573006
420,95.568794
421,95.56399
422,95.56018
423,95.55558
424,95.55303
425,95.54978
426,95.54519
427,95.5429
428,95.54024
429,95.53915
430,95.537254
431,95.536285
432,95.535706
433,95.534355
434,95.53437
435,95.535706
436,95.53594
437,95.538124
438,95.53806
439,95.538475
440,95.539
441,95.54044
442,95.54062
443,95.541626
444,95.54192
445,95.54161
446,95.54272
447,95.54356
448,95.54359
449,95.543205
450,95.543495
451,95.543495
452,95.54186
453,95.54038
454,95.54031
455,95.54035
456,95.540504
457,95.53934
458,95.53798
459,95.53713
460,95.53608
461,95.53487
462,95.53389
463,95.53301
464,95.53292
465,95.5322
466,95.53083
467,95.52984
468,95.52831
469,95.52761
470,95.52842
471,95.52723
472,95.52502
473,95.52402
474,95.523315
475,95.5223
476,95.52083
477,95.520195
478,95.52013
479,95.51871
480,95.518585
481,95.51589
482,95.51519
483,95.514465
484,95.51386
485,95.51184
486,95.51099
487,95.5123
488,95.51052
489,95.50974
490,95.509026
491,95.50791
492,95.505875
493,95.50556
494,95.502556
495,95.50245
496,95.50277
497,95.50105
498,95.50029
499,95.49786
500,95.49779
501,95.49649
502,95.494804
503,95.494484
504,95.494026
505,95.49241
506,95.490944
507,95.49066
508,95.48898
509,95.48762
510,95.48679
511,95.4868
512,95.48277
513,95.48154
514,95.48084
515,95.47994
516,95.47743
517,95.47676
518,95.47455
519,95.47313
520,95.47073
521,95.47044
522,95.46805
523,95.46656
524,95.46462
525,95.4634
526,95.46053
527,95.45792
528,95.45677
529,95.45524
530,95.45347
531,95.451256
532,95.4494
533,95.44813
534,95.44559
535,95.444595
536,95.440056
537,95.43869
538,95.43703
539,95.43396
540,95.43258
541,95.429886
542,95.42796
543,95.425476
544,95.42218
545,95.42072
546,95.4183
547,95.415054
548,95.41313
549,95.41032
550,95.408066
551,95.40567
552,95.403824
553,95.40077
554,95.39892
555,95.39531
556,95.39429
557,95.391304
558,95.38819
559,95.387344
560,95.3846
561,95.382034
562,95.38129
563,95.38037
564,95.37977
565,95.37882
566,95.37772
567,95.376045
568,95.376724
569,95.37596
570,95.377655
571,95.37857
572,95.38017
573,95.38388
574,95.388725
575,95.3955
576,95.40401
577,95.41361
578,95.42617
579,95.44213
580,95.46266
581,95.48732
582,95.51549
583,95.55434
584,95.60508
585,95.67674
586,95.79136
587,95.976166
588,95.43339
589,94.32592
590,95.661125
591,95.67008
592,95.673744
593,95.67304
594,95.67182
595,95.66986
596,95.66538
597,95.6623
598,95.658035
599,95.65297
600,95.64769
601,95.64154
602,95.63729
603,95.63124
604,95.62665
605,95.62058
606,95.61671
607,95.61023
608,95.605606
609,95.599686
610,95.59503
611,95.59011
612,95.58472
613,95.57986
614,95.575905
615,95.57134
616,95.56635
617,95.562294
618,95.55857
619,95.55519
620,95.55063
621,95.54826
622,95.545715
623,95.54364
624,95.54128
625,95.54003
626,95.539795
627,95.5386
628,95.53856
629,95.538704
630,95.53833
631,95.53958
632,95.540184
633,95.540924
634,95.54138
635,95.54205
636,95.54303
637,95.543205
638,95.54541
639,95.545616
640,95.5461
641,95.54546
642,95.546394
643,95.5464
644,95.54555
645,95.54663
646,95.54569
647,95.54506
648,95.54421
649,95.543495
650,95.543144
651,95.543076
652,95.54204
653,95.54049
654,95.54012
655,95.54035
656,95.53912
657,95.53816
658,95.5372
659,95.536736
660,95.536224
661,95.53436
662,95.532936
663,95.53275
664,95.53099
665,95.53013
666,95.52974
667,95.52918
668,95.52764
669,95.52788
670,95.52627
671,95.524925
672,95.523674
673,95.5234
674,95.52192
675,95.520836
676,95.5208
677,95.51902
678,95.51695
679,95.51669
680,95.51599
681,95.51488
682,95.513855
683,95.51432
684,95.51195
685,95.51169
686,95.51072
687,95.50958
688,95.50929
689,95.50699
690,95.50635
691,95.50634
692,95.50564
693,95.50449
694,95.50237
695,95.50114
696,95.50144
697,95.499306
698,95.49869
699,95.496704
700,95.49533
701,95.49448
702,95.49414
703,95.49202
704,95.49128
705,95.489624
706,95.48806
707,95.48732
708,95.485855
709,95.48403
710,95.48203
711,95.480576
712,95.47969
713,95.47747
714,95.47613
715,95.473595
716,95.47311
717,95.471054
718,95.469246
719,95.46656
720,95.46536
721,95.464066
722,95.46151
723,95.45902
724,95.4582
725,95.45335
726,95.453
727,95.45209
728,95.4501
729,95.44813
730,95.44471
731,95.442726
732,95.44132
733,95.43895
734,95.43745
735,95.43449
736,95.43279
737,95.43003
738,95.428024
739,95.42407
740,95.421005
741,95.41951
742,95.41678
743,95.41491
744,95.413475
745,95.41122
746,95.40772
747,95.40675
748,95.40448
749,95.40248
750,95.398926
751,95.397354
752,95.39416
753,95.39214
754,95.3901
755,95.38923
756,95.38491
757,95.385155
758,95.3848
759,95.38304
760,95.383
761,95.380745
762,95.38162
763,95.381485
764,95.38255
765,95.38354
766,95.38487
767,95.38792
768,95.39189
769,95.39911
770,95.404
771,95.41384
772,95.42629
773,95.44192
774,95.46113
775,95.48399
776,95.51353
777,95.55051
778,95.59917
779,95.66602
780,95.77354
781,95.95202
782,94.8565
783,93.77277
784,95.15927
785,95.166695
786,95.17265
787,95.17172
788,95.1704
789,95.16848
790,95.165115
791,95.159744
792,95.15633
793,95.150215
794,95.14567
795,95.14068
796,95.13632
797,95.13201
798,95.126495
799,95.12083
800,95.11598
801,95.11209
802,95.10645
803,95.10087
804,95.095894
805,95.09122
806,95.08631
807,95.081604
808,95.07665
809,95.0712
810,95.06804
811,95.063126
812,95.05936
813,95.056656
814,95.05369
815,95.050896
816,95.048546
817,95.04596
818,95.04516
819,95.043846
820,95.04318
821,95.04219
822,95.04281
823,95.04286
824,95.04345
825,95.04458
826,95.04455
827,95.044525
828,95.0459
829,95.046165
830,95.04668
831,95.048416
832,95.04832
833,95.05062
834,95.051125
835,95.05075
836,95.05019
837,95.051476
838,95.04969
839,95.05137
840,95.04902
841,95.05094
842,95.04926
843,95.04908
844,95.04906
845,95.048065
846,95.045135
847,95.04625
848,95.04546
849,95.04502
850,95.04333
851,95.04373
852,95.041885
853,95.04164
854,95.04054
855,95.040405
856,95.03944
857,95.03921
858,95.03648
859,95.03562
860,95.03568
861,95.03409
862,95.03336
863,95.03287
864,95.03137
865,95.03134
866,95.03097
867,95.029396
868,95.02886
869,95.0281
870,95.02727
871,95.02473
872,95.02427
873,95.0236
874,95.021034
875,95.020454
876,95.02122
877,95.02019
878,95.01861
879,95.01837
880,95.01698
881,95.01651
882,95.01521
883,95.014366
884,95.012794
885,95.01207
886,95.01125
887,95.009796
888,95.0088
889,95.00708
890,95.00652
891,95.00658
892,95.00362
893,95.004
894,95.0016
895,95.000175
896,94.999245
897,94.997925
898,94.99685
899,94.99494
900,94.993935
901,94.99302
902,94.99059
903,94.989845
904,94.98769
905,94.98578
906,94.984604
907,94.983284
908,94.98102
909,94.97888
910,94.97692
911,94.97605
912,94.97413
913,94.972595
914,94.970146
915,94.970055
916,94.96693
917,94.96487
918,94.96279
919,94.960205
920,94.959694
921,94.95736
922,94.954956
923,94.95364
924,94.94999
925,94.949104
926,94.94753
927,94.94436
928,94.942245
929,94.94198
930,94.93827
931,94.935524
932,94.93467
933,94.93208
934,94.92968
935,94.92639
936,94.92477
937,94.92227
938,94.91967
939,94.91732
940,94.91531
941,94.91391
942,94.91102
943,94.909386
944,94.90666
945,94.90503
946,94.902626
947,94.90078
948,94.89962
949,94.89719
950,94.8962
951,94.89384
952,94.89252
953,94.89143
954,94.89082
955,94.88983
956,94.89007
957,94.891525
958,94.89127
959,94.89288
960,94.89555
961,94.89904
962,94.90464
963,94.91108
964,94.92106
965,94.93058
966,94.944496
967,94.961494
968,94.983154
969,95.01076
970,95.04498
971,95.08844
972,95.1473
973,95.24106
974,95.39697
975,95.61047
976,95.47424
977,94.35756
978,95.69086
979,95.70132
980,95.704834
981,95.70546
982,95.70429
983,95.701126
984,95.69781
985,95.69328
986,95.68829
987,95.68374
988,95.679474
989,95.67337
990,95.66801
991,95.6634
992,95.65881
993,95.65305
994,95.647705
995,95.64415
996,95.63863
997,95.63325
998,95.628204
999,95.62232
1000,95.61741
1001,95.61243
1002,95.60805
1003,95.603676
1004,95.59921
1005,95.59387
1006,95.59028
1007,95.5866
1008,95.58178
1009,95.57775
1010,95.57518
1011,95.570625
1012,95.56887
1013,95.56625
1014,95.56465
1015,95.5644
1016,95.56354
1017,95.56202
1018,95.56237
1019,95.56329
1020,95.562614
1021,95.56387
1022,95.56501
1023,95.56606
1024,95.56652
1025,95.568535
1026,95.56808
1027,95.56898
1028,95.57068
1029,95.57173
1030,95.57097
1031,95.5716
1032,95.572105
1033,95.57213
1034,95.57221
1035,95.57232
1036,95.571014
1037,95.57091
1038,95.57052
1039,95.57042
1040,95.57003
1041,95.56969
1042,95.5676
1043,95.5676
1044,95.56752
1045,95.565475
1046,95.56442
1047,95.56503
1048,95.56373
1049,95.562904
1050,95.56191
1051,95.561295
1052,95.55998
1053,95.55916
1054,95.55704
1055,95.55756
1056,95.557236
1057,95.556015
1058,95.55574
1059,95.55355
1060,95.55384
1061,95.55234
1062,95.5511
1063,95.5501
1064,95.5483
1065,95.54947
1066,95.547386
1067,95.547035
1068,95.54601
1069,95.545074
1070,95.54438
1071,95.542946
1072,95.54193
1073,95.5414
1074,95.53935
1075,95.539406
1076,95.536896
1077,95.537895
1078,95.53549
1079,95.53535
1080,95.53444
1081,95.53366
1082,95.53238
1083,95.530815
1084,95.52918
1085,95.527725
1086,95.527145
1087,95.52698
1088,95.523834
1089,95.52413
1090,95.52296
1091,95.52147
1092,95.52036
1093,95.5188
1094,95.516396
1095,95.515175
1096,95.51364
1097,95.51192
1098,95.51094
1099,95.50871
1100,95.50764
1101,95.50578
1102,95.50448
1103,95.50313
1104,95.500206
1105,95.49956
1106,95.4979
1107,95.49665
1108,95.494286
1109,95.49162
1110,95.48975
1111,95.48825
1112,95.48557
1113,95.48469
1114,95.481224
1115,95.48054
1116,95.477486
1117,95.47482
1118,95.47391
1119,95.47007
1120,95.46945
1121,95.46683
1122,95.46524
1123,95.46196
1124,95.46006
1125,95.45879
1126,95.45724
1127,95.453964
1128,95.45227
1129,95.44886
1130,95.44619
1131,95.44446
1132,95.44207
1133,95.44038
1134,95.436646
1135,95.43535
1136,95.433044
1137,95.42972
1138,95.42825
1139,95.42626
1140,95.42253
1141,95.41991
1142,95.41828
1143,95.41762
1144,95.41551
1145,95.41358
1146,95.41307
1147,95.410934
1148,95.408806
1149,95.40774
1150,95.408066
1151,95.40652
1152,95.40789
1153,95.40953
1154,95.409256
1155,95.411835
1156,95.414116
1157,95.41877
1158,95.42436
1159,95.4301
1160,95.43986
1161,95.45291
1162,95.46696
1163,95.48621
1164,95.509964
1165,95.540794
1166,95.57772
1167,95.62738
1168,95.69763
1169,95.81269
1170,96.01167
1171,95.43094
1172,94.31828
1173,95.652435
1174,95.66316
1175,95.66781
1176,95.667366
1177,95.66498
1178,95.66276
1179,95.65907
1180,95.65554
1181,95.65136
1182,95.64652
1183,95.64064
1184,95.63416
1185,95.62943
1186,95.62495
1187,95.61914
1188,95.613914
1189,95.61008
1190,95.60508
1191,95.60128
1192,95.59542
1193,95.59014
1194,95.585915
1195,95.58061
1196,95.575356
1197,95.57005
1198,95.56422
1199,95.56074
1200,95.55689
1201,95.551834
1202,95.54769
1203,95.545
1204,95.540436
1205,95.53806
1206,95.53477
1207,95.53205
1208,95.528786
1209,95.52788
1210,95.52581
1211,95.5261
1212,95.52591
1213,95.525856
1214,95.5256
1215,95.52536
1216,95.527145
1217,95.52806
1218,95.52866
1219,95.529686
1220,95.53138
1221,95.53187
1222,95.53246
1223,95.53389
1224,95.534004
1225,95.53468
1226,95.53525
1227,95.535614
1228,95.53519
1229,95.536385
1230,95.53609
1231,95.53494
1232,95.53517
1233,95.5348
1234,95.534325
1235,95.53335
1236,95.53356
1237,95.53246
1238,95.53177
1239,95.53126
1240,95.52962
1241,95.52914
1242,95.52904
1243,95.527664
1244,95.526596
1245,95.52597
1246,95.52505
1247,95.52356
1248,95.522934
1249,95.52236
1250,95.52244
1251,95.52115
1252,95.520226
1253,95.519714
1254,95.51817
1255,95.51834
1256,95.51578
1257,95.51538
1258,95.5147
1259,95.51338
1260,95.51241
1261,95.5116
1262,95.51066
1263,95.509415
1264,95.508385
1265,95.50909
1266,95.50746
1267,95.50546
1268,95.505974
1269,95.5039
1270,95.503136
1271,95.50235
1272,95.501236
1273,95.50121
1274,95.49895
1275,95.49863
1276,95.49692
1277,95.49539
1278,95.494736
1279,95.49307
1280,95.4929
1281,95.49119
1282,95.49061
1283,95.49013
1284,95.48794
1285,95.48677
1286,95.48482
1287,95.48428
1288,95.48306
1289,95.47964
1290,95.48018
1291,95.47821
1292,95.47608
1293,95.47537
1294,95.47219
1295,95.469536
1296,95.468796
1297,95.46677
1298,95.46658
1299,95.46413
1300,95.4634
1301,95.46074
1302,95.45837
1303,95.457436
1304,95.45455
1305,95.45417
1306,95.45207
1307,95.45023
1308,95.447655
1309,95.444855
1310,95.44295
1311,95.442345
1312,95.438545
1313,95.43773
1314,95.435715
1315,95.43216
1316,95.43042
1317,95.42872
1318,95.42676
1319,95.42396
1320,95.42136
1321,95.41862
1322,95.41727
1323,95.415115
1324,95.41166
1325,95.40968
1326,95.40763
1327,95.40584
1328,95.40337
1329,95.39953
1330,95.397
1331,95.393745
1332,95.39419
1333,95.39043
1334,95.3887
1335,95.385895
1336,95.38386
1337,95.38037
1338,95.37972
1339,95.37787
1340,95.37541
1341,95.37363
1342,95.37335
1343,95.37191
1344,95.37248
1345,95.370926
1346,95.37052
1347,95.371086
1348,95.371635
1349,95.3733
1350,95.37499
1351,95.37945
1352,95.38432
1353,95.3905
